"elevation","soil_type","Contrast","cv","Entropy","std","bio15","bio19","longitude","latitude","response","fold","bio1","bio12"
387.475799560547,11786.001953125,31462.734375,322.003784179688,25120.318359375,163.00146484375,83.0903930664062,113.919982910156,108.050384349746,21.9591091225971,0,3,20.2825164794922,1905.67993164062
4173.04541015625,11741.001953125,3947.56860351562,694.047302246094,9804.1728515625,67.0065383911133,121.223030090332,0,89.9362909128813,37.6209423388744,0,3,-4.54086494445801,130.000747680664
160.427185058594,11892.8046875,809494.75,1453.8720703125,29554.884765625,760.931579589844,113.195014953613,7,121.40260121005,41.8319448285555,0,1,8.30859565734863,499.679962158203
365.691802978516,11293,9917.958984375,666.032165527344,21057.193359375,83.0096130371094,51.6045684814453,14.2000408172607,84.2579990364356,45.1340189435124,0,3,8.81895732879639,129.320327758789
236.58088684082,8526,168478.046875,1445.15563964844,28722.830078125,414.043975830078,43.7963104248047,49,80.087451859467,51.0308327820072,0,3,3.14181232452393,300.439971923828
167.875015258789,3878,223944.859375,641.995544433594,28223.873046875,322.998962402344,107.882713317871,25,73.640955600395,30.1469889176503,0,3,24.9733371734619,245.399948120117
96.1806640625,3781,107502.9296875,707.997375488281,27303.99609375,311.998870849609,79.8568267822266,104.879989624023,79.6322686054243,12.8899827690129,0,3,28.2525997161865,1069.35998535156
765.797668457031,7353,110799.9453125,713.967529296875,28215.93359375,284.992462158203,118.879570007324,7.80000114440918,113.073155120361,51.6849693083171,0,1,-1.62225532531738,346.599456787109
191.916412353516,11808,118055.1640625,450.995574951172,28418.64453125,233.996200561523,50.9728965759277,213.199920654297,114.734074008218,26.4010732336263,0,2,17.9296588897705,1494.39990234375
892.976867675781,11353,4013.85620117188,197.999298095703,12213.693359375,7,81.2343902587891,0.400038570165634,91.0432520756015,39.8980360941415,0,3,10.779091835022,14.4000387191772
2213.25415039062,7124,55622.40625,513.010314941406,24114.095703125,199.011657714844,75.091926574707,25.4001140594482,87.7102788567527,50.1864563630494,0,3,-4.33817768096924,319.802459716797
380.17919921875,11145,410300.1875,1489.93542480469,29299.90625,502.991546630859,120.785209655762,6.23998737335205,120.516095268726,44.2106400635246,0,1,6.4483323097229,390.199768066406
375.525268554688,27960,1066.53771972656,170.027267456055,4005.5517578125,31.005334854126,38.7836380004883,58,73.0133582213207,44.1574650740253,0,3,10.4147682189941,211.400115966797
126.079971313477,11461.974609375,358782.28125,996.882263183594,28554.828125,476.946319580078,117.102386474609,7,123.428084187331,43.5403270118927,0,1,7.10414218902588,471.999969482422
2446.92065429688,11314,3955.59692382812,367.045318603516,12963.53125,35.0033302307129,72.6767883300781,8,76.479039266311,40.2113964769827,0,3,5.48825263977051,131.399688720703
764.359924316406,27945,14386.771484375,363.007141113281,20943.322265625,86.0023422241211,31.7018566131592,54,77.8429584521768,48.4904095816442,0,3,1.98317551612854,289.919952392578
199.359313964844,3798,123334.28125,540.001403808594,27019.005859375,247.000930786133,134.728302001953,45.199951171875,78.3101248740515,28.6295030347269,0,3,24.6639347076416,868.599853515625
163.335052490234,4424,101252.015625,272.078887939453,28677.80078125,191.045684814453,56.8623161315918,286.479644775391,121.308196581135,13.8764936871437,0,2,27.2187614440918,1912.40087890625
1208.814453125,11353,998.278015136719,113.996711730957,4098.6845703125,4.99980401992798,67.3900146484375,3,78.3189119645902,38.5266902820582,0,3,12.875506401062,33
2017.47473144531,17969,28451.98828125,978.916442871094,25134.826171875,167.98828125,89.4596557617188,12,94.9797969502163,49.2191938328563,0,3,-4.66505908966064,235.199279785156
965.5439453125,18024,8417.3662109375,538.965881347656,19758.44140625,63.9957313537598,124.781089782715,3,109.89769466478,45.7239154605397,0,1,2.53473520278931,142.399917602539
4780.0771484375,11736,6516.6826171875,451.981292724609,17786.408203125,55.9977493286133,117.434303283691,5,92.3395615176969,34.597457959223,0,3,-4.96703052520752,275.76025390625
23.8783168792725,11782.013671875,560869.0625,1613.96313476562,22894.5390625,587.9853515625,69.0762557983398,145.400131225586,114.149992311952,23.0809767353615,0,2,22.1754722595215,1816.40026855469
